D,W,AtCount
2,2,4
2,5,16
2,8,37
2,11,67
2,14,106
2,17,154
2,20,211
2,23,277
2,26,352
2,29,436
4,2,8
4,5,44
4,8,107
4,11,197
4,14,314
4,17,458
4,20,629
4,23,827
4,26,1052
4,29,1304
6,2,12
6,5,72
6,8,177
6,11,327
6,14,522
6,17,762
6,20,1047
6,23,1377
6,26,1752
6,29,2172
8,2,16
8,5,100
8,8,247
8,11,457
8,14,730
8,17,1066
8,20,1465
8,23,1927
8,26,2452
8,29,3040
10,2,20
10,5,128
10,8,317
10,11,587
10,14,938
10,17,1370
10,20,1883
10,23,2477
10,26,3152
10,29,3908
12,2,24
12,5,156
12,8,387
12,11,717
12,14,1146
12,17,1674
12,20,2301
12,23,3027
12,26,3852
12,29,4776
14,2,28
14,5,184
14,8,457
14,11,847
14,14,1354
14,17,1978
14,20,2719
14,23,3577
14,26,4552
14,29,5644
16,2,32
16,5,212
16,8,527
16,11,977
16,14,1562
16,17,2282
16,20,3137
16,23,4127
16,26,5252
16,29,6512
18,2,36
18,5,240
18,8,597
18,11,1107
18,14,1770
18,17,2586
18,20,3555
18,23,4677
18,26,5952
18,29,7380
20,2,40
20,5,268
20,8,667
20,11,1237
20,14,1978
20,17,2890
20,20,3973
20,23,5227
20,26,6652
20,29,8248
22,2,44
22,5,296
22,8,737
22,11,1367
22,14,2186
22,17,3194
22,20,4391
22,23,5777
22,26,7352
22,29,9116
24,2,48
24,5,324
24,8,807
24,11,1497
24,14,2394
24,17,3498
24,20,4809
24,23,6327
24,26,8052
24,29,9984
26,2,52
26,5,352
26,8,877
26,11,1627
26,14,2602
26,17,3802
26,20,5227
26,23,6877
26,26,8752
26,29,10852
28,2,56
28,5,380
28,8,947
28,11,1757
28,14,2810
28,17,4106
28,20,5645
28,23,7427
28,26,9452
28,29,11720
30,2,60
30,5,408
30,8,1017
30,11,1887
30,14,3018
30,17,4410
30,20,6063
30,23,7977
30,26,10152
30,29,12588
