D,W,AtCount
2,2,3
2,5,6
2,8,9
2,11,12
2,14,15
2,17,18
2,20,21
2,23,24
2,26,27
2,29,30
4,2,5
4,5,14
4,8,23
4,11,32
4,14,41
4,17,50
4,20,59
4,23,68
4,26,77
4,29,86
6,2,7
6,5,22
6,8,37
6,11,52
6,14,67
6,17,82
6,20,97
6,23,112
6,26,127
6,29,142
8,2,9
8,5,30
8,8,51
8,11,72
8,14,93
8,17,114
8,20,135
8,23,156
8,26,177
8,29,198
10,2,11
10,5,38
10,8,65
10,11,92
10,14,119
10,17,146
10,20,173
10,23,200
10,26,227
10,29,254
12,2,13
12,5,46
12,8,79
12,11,112
12,14,145
12,17,178
12,20,211
12,23,244
12,26,277
12,29,310
14,2,15
14,5,54
14,8,93
14,11,132
14,14,171
14,17,210
14,20,249
14,23,288
14,26,327
14,29,366
16,2,17
16,5,62
16,8,107
16,11,152
16,14,197
16,17,242
16,20,287
16,23,332
16,26,377
16,29,422
18,2,19
18,5,70
18,8,121
18,11,172
18,14,223
18,17,274
18,20,325
18,23,376
18,26,427
18,29,478
20,2,21
20,5,78
20,8,135
20,11,192
20,14,249
20,17,306
20,20,363
20,23,420
20,26,477
20,29,534
22,2,23
22,5,86
22,8,149
22,11,212
22,14,275
22,17,338
22,20,401
22,23,464
22,26,527
22,29,590
24,2,25
24,5,94
24,8,163
24,11,232
24,14,301
24,17,370
24,20,439
24,23,508
24,26,577
24,29,646
26,2,27
26,5,102
26,8,177
26,11,252
26,14,327
26,17,402
26,20,477
26,23,552
26,26,627
26,29,702
28,2,29
28,5,110
28,8,191
28,11,272
28,14,353
28,17,434
28,20,515
28,23,596
28,26,677
28,29,758
30,2,31
30,5,118
30,8,205
30,11,292
30,14,379
30,17,466
30,20,553
30,23,640
30,26,727
30,29,814
