EXTERNAL,INTERNAL,Time
5,5,0.186388
5,505,0.267053
5,1005,0.403762
5,1505,0.542565
5,2005,0.668668
5,2505,0.812179
5,3005,0.937738
5,3505,1.07697
5,4005,1.23644
5,4505,1.34553
5,5005,1.51043
5,5505,1.66415
5,6005,1.80015
5,6505,1.85517
5,7005,2.0399
505,5,0.248641
505,505,0.374727
505,1005,0.509655
505,1505,0.66029
505,2005,0.783438
505,2505,0.919016
505,3005,1.04262
505,3505,1.18156
505,4005,1.34575
505,4505,1.45208
505,5005,1.57964
505,5505,1.69265
505,6005,1.88029
505,6505,1.99499
505,7005,2.14179
1005,5,0.364133
1005,505,0.484989
1005,1005,0.635661
1005,1505,0.763653
1005,2005,0.891896
1005,2505,1.0185
1005,3005,1.18914
1005,3505,1.28075
1005,4005,1.45609
1005,4505,1.55247
1005,5005,1.70166
1005,5505,1.8532
1005,6005,1.9533
1005,6505,2.07959
1005,7005,2.20622
1505,5,0.465924
1505,505,0.600777
1505,1005,0.728117
1505,1505,0.865058
1505,2005,1.00077
1505,2505,1.12039
1505,3005,1.28361
1505,3505,1.40497
1505,4005,1.52741
1505,4505,1.66311
1505,5005,1.81467
1505,5505,1.91969
1505,6005,2.06567
1505,6505,2.19422
1505,7005,2.38037
2005,5,0.575786
2005,505,0.70142
2005,1005,0.832611
2005,1505,0.965022
2005,2005,1.11744
2005,2505,1.24486
2005,3005,1.36906
2005,3505,1.54297
2005,4005,1.68658
2005,4505,1.804
2005,5005,1.90677
2005,5505,2.05212
2005,6005,2.16777
2005,6505,2.30375
2005,7005,2.47994
2505,5,0.683947
2505,505,0.808357
2505,1005,0.94042
2505,1505,1.07903
2505,2005,1.24106
2505,2505,1.34564
2505,3005,1.47188
2505,3505,1.6111
2505,4005,1.75158
2505,4505,1.86405
2505,5005,2.07327
2505,5505,2.14732
2505,6005,2.28026
2505,6505,2.41258
2505,7005,2.57821
3005,5,0.793963
3005,505,0.915912
3005,1005,1.04717
3005,1505,1.18017
3005,2005,1.33018
3005,2505,1.46583
3005,3005,1.58381
3005,3505,1.77318
3005,4005,1.85436
3005,4505,1.99584
3005,5005,2.12975
3005,5505,2.31163
3005,6005,2.39717
3005,6505,2.57049
3005,7005,2.67808
3505,5,0.927997
3505,505,1.02466
3505,1005,1.15429
3505,1505,1.32192
3505,2005,1.4292
3505,2505,1.5697
3505,3005,1.73276
3505,3505,1.85124
3505,4005,1.94816
3505,4505,2.14947
3505,5005,2.23533
3505,5505,2.41835
3505,6005,2.49698
3505,6505,2.6963
3505,7005,2.75986
4005,5,1.00618
4005,505,1.15943
4005,1005,1.26204
4005,1505,1.39373
4005,2005,1.53425
4005,2505,1.67238
4005,3005,1.79314
4005,3505,1.92388
4005,4005,2.05961
4005,4505,2.19356
4005,5005,2.3504
4005,5505,2.49557
4005,6005,2.68516
4005,6505,2.74821
4005,7005,2.9346
4505,5,1.1161
4505,505,1.24927
4505,1005,1.38444
4505,1505,1.93634
4505,2005,1.75061
4505,2505,1.80846
4505,3005,1.90868
4505,3505,2.10029
4505,4005,2.19209
4505,4505,2.29395
