EXTERNAL,INTERNAL,Time
5,5,0.135434
5,505,0.385806
5,1005,0.639087
5,1505,0.911809
5,2005,1.14158
5,2505,1.39491
5,3005,1.65544
5,3505,1.89903
5,4005,2.19741
5,4505,2.4581
5,5005,2.64932
5,5505,2.99061
5,6005,3.22045
5,6505,3.39324
5,7005,3.7042
505,5,0.353116
505,505,0.603786
505,1005,0.867237
505,1505,1.16978
505,2005,1.39447
505,2505,1.61874
505,3005,1.85581
505,3505,2.11139
505,4005,2.4114
505,4505,2.6119
505,5005,2.85135
505,5505,3.12214
505,6005,3.34907
505,6505,3.60749
505,7005,3.96399
1005,5,0.586015
1005,505,0.823708
1005,1005,1.07623
1005,1505,1.32463
1005,2005,1.61632
1005,2505,1.82376
1005,3005,2.07615
1005,3505,2.35102
1005,4005,2.59027
1005,4505,2.85208
1005,5005,3.07349
1005,5505,3.39638
1005,6005,3.64996
1005,6505,3.81843
1005,7005,4.2329
1505,5,0.791804
1505,505,1.04319
1505,1005,1.32856
1505,1505,1.5701
1505,2005,1.79572
1505,2505,2.04219
1505,3005,2.30741
1505,3505,2.54173
1505,4005,2.80167
1505,4505,3.0568
1505,5005,3.29074
1505,5505,3.55058
1505,6005,4.11278
1505,6505,4.03624
1505,7005,4.38711
2005,5,1.0111
2005,505,1.25942
2005,1005,1.50924
2005,1505,1.7592
2005,2005,2.00769
2005,2505,2.26136
2005,3005,2.50567
2005,3505,2.78329
2005,4005,3.00277
2005,4505,3.24766
2005,5005,3.49902
2005,5505,3.74452
2005,6005,4.04272
2005,6505,4.36609
2005,7005,4.51405
2505,5,1.23428
2505,505,1.4871
2505,1005,1.7318
2505,1505,1.98625
2505,2005,2.29803
2505,2505,2.50975
2505,3005,2.74771
2505,3505,2.97723
2505,4005,3.23115
2505,4505,3.48516
2505,5005,3.72999
2505,5505,3.97935
2505,6005,4.37419
2505,6505,4.48629
2505,7005,4.86265
3005,5,1.45134
3005,505,1.70886
3005,1005,1.95362
3005,1505,2.20298
3005,2005,2.44971
3005,2505,2.702
3005,3005,2.97787
3005,3505,3.20133
3005,4005,3.50511
3005,4505,3.69882
3005,5005,3.95049
3005,5505,4.20319
3005,6005,4.5959
3005,6505,4.7009
3005,7005,5.09639
3505,5,1.67146
3505,505,1.92333
3505,1005,2.23256
3505,1505,2.419
3505,2005,2.67148
3505,2505,3.05451
3505,3005,3.18547
3505,3505,3.46408
3505,4005,3.79957
3505,4505,3.92181
3505,5005,4.21384
3505,5505,4.49217
3505,6005,4.73636
3505,6505,5.08578
3505,7005,5.17188
4005,5,1.89012
4005,505,2.13638
4005,1005,2.47334
4005,1505,2.71599
4005,2005,2.94592
4005,2505,3.14389
4005,3005,3.39251
4005,3505,3.67589
4005,4005,3.95406
4005,4505,4.14227
4005,5005,4.40686
4005,5505,4.78012
4005,6005,5.11394
4005,6505,5.21346
4005,7005,5.38609
4505,5,2.11818
4505,505,2.35889
4505,1005,2.65096
4505,1505,3.01939
4505,2005,3.15849
4505,2505,3.41331
4505,3005,3.64173
4505,3505,3.97798
4505,4005,4.13109
4505,4505,4.49516
