EXTERNAL,INTERNAL,Time
5,5,0.269955
5,505,0.348842
5,1005,0.485112
5,1505,0.629403
5,2005,0.770951
5,2505,0.902876
5,3005,1.01542
5,3505,1.13984
5,4005,1.29441
505,5,0.333218
505,505,0.460142
505,1005,0.594584
505,1505,0.722563
505,2005,0.858403
505,2505,1.0092
505,3005,1.12761
505,3505,1.26449
505,4005,1.38813
1005,5,0.442059
1005,505,0.568306
1005,1005,0.703429
1005,1505,0.849204
1005,2005,0.987225
1005,2505,1.09856
1005,3005,1.23386
1005,3505,1.35906
1005,4005,1.49843
1505,5,0.558044
1505,505,0.689797
1505,1005,0.813367
1505,1505,0.94757
1505,2005,1.07759
1505,2505,1.20899
1505,3005,1.35407
1505,3505,1.58962
1505,4005,1.69312
2005,5,0.660971
2005,505,0.783864
2005,1005,0.918067
2005,1505,1.05248
2005,2005,1.20947
2005,2505,1.31985
2005,3005,1.50037
2005,3505,1.65451
2005,4005,1.70587
2505,5,0.779474
2505,505,0.904904
2505,1005,1.04944
2505,1505,1.1797
2505,2005,1.28943
2505,2505,1.4758
2505,3005,1.60876
2505,3505,1.69035
2505,4005,1.86578
3005,5,0.9105
3005,505,1.00287
3005,1005,1.14655
3005,1505,1.27023
3005,2005,1.40666
3005,2505,1.53371
3005,3005,1.68527
3005,3505,1.79441
3005,4005,1.9456
3505,5,1.01311
3505,505,1.12907
3505,1005,1.286
3505,1505,1.37832
3505,2005,1.52602
3505,2505,1.66176
3505,3005,1.83466
3505,3505,1.99159
3505,4005,2.04089
4005,5,1.11713
