EXTERNAL,INTERNAL,Time
5,5,0.206086
5,505,0.463403
5,1005,0.719742
5,1505,0.982348
5,2005,1.21989
5,2505,1.5321
5,3005,1.72675
5,3505,2.02948
5,4005,2.24508
505,5,0.429211
505,505,0.702237
505,1005,0.937043
505,1505,1.18065
505,2005,1.44864
505,2505,1.74199
505,3005,1.95254
505,3505,2.19433
505,4005,2.46799
1005,5,0.647673
1005,505,0.902317
1005,1005,1.18438
1005,1505,1.41485
1005,2005,1.65533
1005,2505,1.92859
1005,3005,2.21385
1005,3505,2.41447
1005,4005,2.70324
1505,5,0.87338
1505,505,1.13068
1505,1005,1.37138
1505,1505,1.62012
1505,2005,1.90343
1505,2505,2.11691
1505,3005,2.3916
1505,3505,2.66524
1505,4005,3.04208
2005,5,1.09746
2005,505,1.3454
2005,1005,1.62734
2005,1505,1.843
2005,2005,2.10478
2005,2505,2.36192
2005,3005,2.59494
2005,3505,2.97362
2005,4005,3.17109
2505,5,1.34433
2505,505,1.63968
2505,1005,1.86595
2505,1505,2.08333
2505,2005,2.37741
2505,2505,2.58367
2505,3005,2.91762
2505,3505,3.09323
2505,4005,3.36841
3005,5,1.56354
3005,505,1.81345
3005,1005,2.0478
3005,1505,2.30821
3005,2005,2.5606
3005,2505,2.81655
3005,3005,3.0582
3005,3505,3.40439
3005,4005,3.61305
3505,5,1.76506
3505,505,2.03662
3505,1005,2.39299
3505,1505,2.58663
3505,2005,2.7919
3505,2505,3.13132
3505,3005,3.38379
3505,3505,3.62166
3505,4005,3.8568
4005,5,2.01959
