EXTERNAL,INTERNAL,Time
5,5,0.014346
5,505,0.0294434
5,1005,0.0482406
5,1505,0.0666811
5,2005,0.0832003
5,2505,0.10278
5,3005,0.120271
5,3505,0.137834
5,4005,0.15576
5,4505,0.177143
5,5005,0.197154
5,5505,0.210144
5,6005,0.225888
5,6505,0.241302
5,7005,0.264138
5,7505,0.279856
5,8005,0.3076
5,8505,0.30731
5,9005,0.343963
5,9505,0.358473
505,5,0.0279684
505,505,0.045464
505,1005,0.0635205
505,1505,0.0820039
505,2005,0.100191
505,2505,0.12031
505,3005,0.138805
505,3505,0.157411
505,4005,0.176728
505,4505,0.198756
505,5005,0.214565
505,5505,0.24794
505,6005,0.260612
505,6505,0.260817
505,7005,0.285948
505,7505,0.305311
505,8005,0.325804
505,8505,0.337646
505,9005,0.347404
505,9505,0.371266
1005,5,0.0438828
1005,505,0.0621319
1005,1005,0.081861
1005,1505,0.097691
1005,2005,0.116146
1005,2505,0.134857
1005,3005,0.152645
1005,3505,0.170968
1005,4005,0.188883
1005,4505,0.20977
1005,5005,0.223319
1005,5505,0.242887
1005,6005,0.259638
1005,6505,0.2794
1005,7005,0.294962
1005,7505,0.312437
1005,8005,0.330136
1005,8505,0.354008
1005,9005,0.379507
1005,9505,0.389076
1505,5,0.0603938
1505,505,0.0774443
1505,1005,0.0970809
1505,1505,0.1169
1505,2005,0.135858
1505,2505,0.154432
1505,3005,0.168764
1505,3505,0.184958
1505,4005,0.205657
1505,4505,0.226235
1505,5005,0.24489
1505,5505,0.261092
1505,6005,0.287517
1505,6505,0.301366
1505,7005,0.311388
1505,7505,0.326965
1505,8005,0.344006
1505,8505,0.368439
1505,9005,0.384576
1505,9505,0.405986
2005,5,0.0773408
2005,505,0.0948901
2005,1005,0.112438
2005,1505,0.131073
2005,2005,0.148817
2005,2505,0.168449
2005,3005,0.186753
2005,3505,0.205083
2005,4005,0.223344
2005,4505,0.241408
2005,5005,0.260113
2005,5505,0.282844
2005,6005,0.292887
2005,6505,0.310943
2005,7005,0.332972
2005,7505,0.366197
2005,8005,0.371257
2005,8505,0.382228
2005,9005,0.408006
2005,9505,0.42004
2505,5,0.0944981
2505,505,0.11058
2505,1005,0.131212
2505,1505,0.146949
2505,2005,0.164423
2505,2505,0.180154
2505,3005,0.201393
2505,3505,0.219616
2505,4005,0.241087
2505,4505,0.253114
2505,5005,0.276379
2505,5505,0.293555
2505,6005,0.309699
2505,6505,0.331833
2505,7005,0.346391
2505,7505,0.367579
2505,8005,0.377854
2505,8505,0.41049
2505,9005,0.424302
2505,9505,0.436093
3005,5,0.112412
3005,505,0.132633
3005,1005,0.146593
3005,1505,0.166787
3005,2005,0.191327
3005,2505,0.204099
3005,3005,0.224277
3005,3505,0.237523
3005,4005,0.260458
3005,4505,0.272553
3005,5005,0.29466
3005,5505,0.308259
3005,6005,0.325311
3005,6505,0.343896
3005,7005,0.37061
3005,7505,0.385082
3005,8005,0.399827
3005,8505,0.437973
3005,9005,0.443953
3005,9505,0.458478
3505,5,0.130358
3505,505,0.149613
3505,1005,0.168271
3505,1505,0.18731
3505,2005,0.198056
3505,2505,0.216992
3505,3005,0.240742
3505,3505,0.252348
3505,4005,0.274619
3505,4505,0.287854
3505,5005,0.315031
3505,5505,0.333948
3505,6005,0.344265
3505,6505,0.375559
3505,7005,0.380971
3505,7505,0.395294
3505,8005,0.410267
3505,8505,0.42963
3505,9005,0.455264
3505,9505,0.471077
4005,5,0.148811
4005,505,0.165677
4005,1005,0.18153
4005,1505,0.20046
4005,2005,0.226242
4005,2505,0.241893
4005,3005,0.253404
4005,3505,0.27601
4005,4005,0.289448
4005,4505,0.302876
4005,5005,0.320924
4005,5505,0.340959
4005,6005,0.360968
4005,6505,0.395911
4005,7005,0.398069
4005,7505,0.424052
4005,8005,0.431229
4005,8505,0.445009
4005,9005,0.462834
4005,9505,0.490102
4505,5,0.161945
4505,505,0.176845
4505,1005,0.200702
4505,1505,0.212652
4505,2005,0.231158
4505,2505,0.248264
4505,3005,0.265288
4505,3505,0.283318
4505,4005,0.311536
4505,4505,0.322837
