EXTERNAL,INTERNAL,Time
5,5,0.0144519
5,505,0.0487794
5,1005,0.0822953
5,1505,0.119451
5,2005,0.15071
5,2505,0.185382
5,3005,0.223951
5,3505,0.260079
5,4005,0.286843
5,4505,0.320385
5,5005,0.356122
5,5505,0.389333
5,6005,0.424967
5,6505,0.457806
5,7005,0.493181
5,7505,0.524283
5,8005,0.556872
5,8505,0.59394
5,9005,0.641278
5,9505,0.657955
505,5,0.0487553
505,505,0.0832267
505,1005,0.118495
505,1505,0.151972
505,2005,0.184389
505,2505,0.218771
505,3005,0.253189
505,3505,0.288185
505,4005,0.322542
505,4505,0.360035
505,5005,0.395303
505,5505,0.437921
505,6005,0.472373
505,6505,0.524707
505,7005,0.5326
505,7505,0.582731
505,8005,0.60346
505,8505,0.634825
505,9005,0.659522
505,9505,0.704111
1005,5,0.0833138
1005,505,0.116928
1005,1005,0.151972
1005,1505,0.190095
1005,2005,0.219471
1005,2505,0.253698
1005,3005,0.28568
1005,3505,0.321163
1005,4005,0.354035
1005,4505,0.388393
1005,5005,0.421808
1005,5505,0.457565
1005,6005,0.488908
1005,6505,0.527787
1005,7005,0.558635
1005,7505,0.611756
1005,8005,0.629158
1005,8505,0.661725
1005,9005,0.722261
1005,9505,0.734154
1505,5,0.117618
1505,505,0.153362
1505,1005,0.185494
1505,1505,0.227774
1505,2005,0.258014
1505,2505,0.291963
1505,3005,0.321842
1505,3505,0.35482
1505,4005,0.40451
1505,4505,0.427142
1505,5005,0.460772
1505,5505,0.493562
1505,6005,0.528921
1505,6505,0.575471
1505,7005,0.597479
1505,7505,0.627927
1505,8005,0.67387
1505,8505,0.696364
1505,9005,0.737749
1505,9505,0.768109
2005,5,0.154034
2005,505,0.189099
2005,1005,0.220084
2005,1505,0.253259
2005,2005,0.286821
2005,2505,0.328563
2005,3005,0.358494
2005,3505,0.40142
2005,4005,0.440656
2005,4505,0.457703
2005,5005,0.511921
2005,5505,0.531392
2005,6005,0.577561
2005,6505,0.592847
2005,7005,0.651354
2005,7505,0.68829
2005,8005,0.710208
2005,8505,0.764533
2005,9005,0.775858
2005,9505,0.804474
2505,5,0.186202
2505,505,0.220093
2505,1005,0.256777
2505,1505,0.287853
2505,2005,0.322265
2505,2505,0.355599
2505,3005,0.40947
2505,3505,0.421908
2505,4005,0.457448
2505,4505,0.497808
2505,5005,0.525283
2505,5505,0.558064
2505,6005,0.599521
2505,6505,0.630779
2505,7005,0.671732
2505,7505,0.709031
2505,8005,0.750525
2505,8505,0.781108
2505,9005,0.813126
2505,9505,0.836971
3005,5,0.237998
3005,505,0.256753
3005,1005,0.28997
3005,1505,0.322814
3005,2005,0.358509
3005,2505,0.395584
3005,3005,0.426022
3005,3505,0.458109
3005,4005,0.497238
3005,4505,0.529127
3005,5005,0.575421
3005,5505,0.603486
3005,6005,0.629654
3005,6505,0.667212
3005,7005,0.734243
3005,7505,0.735786
3005,8005,0.803284
3005,8505,0.802669
3005,9005,0.882649
3005,9505,0.868562
3505,5,0.270849
3505,505,0.297152
3505,1005,0.339297
3505,1505,0.367601
3505,2005,0.40182
3505,2505,0.432897
3505,3005,0.460927
3505,3505,0.514836
3505,4005,0.538063
3505,4505,0.563226
3505,5005,0.607785
3505,5505,0.672321
3505,6005,0.666346
3505,6505,0.701816
3505,7005,0.789585
3505,7505,0.763107
3505,8005,0.795012
3505,8505,0.846181
3505,9005,0.886292
3505,9505,0.911972
4005,5,0.303172
4005,505,0.322366
4005,1005,0.357768
4005,1505,0.393734
4005,2005,0.445675
4005,2505,0.461327
4005,3005,0.500355
4005,3505,0.53835
4005,4005,0.559537
4005,4505,0.612105
4005,5005,0.62433
4005,5505,0.65992
4005,6005,0.715875
4005,6505,0.74573
4005,7005,0.786769
4005,7505,0.812088
4005,8005,0.833494
4005,8505,0.865545
