D,W,Time
2,2,0.00777075
2,5,0.0291551
2,8,0.0671804
2,11,0.118913
2,14,0.186043
2,17,0.26886
2,20,0.370223
2,23,0.483046
2,26,0.612913
2,29,0.761956
4,2,0.0112341
4,5,0.0561447
4,8,0.140747
4,11,0.267824
4,14,0.433709
4,17,0.628205
4,20,0.862772
4,23,1.16724
4,26,1.47247
4,29,1.82363
6,2,0.0144383
6,5,0.0809151
6,8,0.207852
6,11,0.409515
6,14,0.653219
6,17,0.995067
6,20,1.36096
6,23,1.83707
6,26,2.3418
6,29,2.86627
8,2,0.0178439
8,5,0.108299
8,8,0.283406
8,11,0.562962
8,14,0.914407
8,17,1.36291
8,20,1.88586
8,23,2.55931
8,26,3.41279
8,29,3.99758
10,2,0.0216306
10,5,0.135224
10,8,0.362609
10,11,0.709686
10,14,1.17199
10,17,1.77543
10,20,2.45654
10,23,3.28663
10,26,4.25678
10,29,5.2742
12,2,0.025854
12,5,0.164469
12,8,0.447257
12,11,0.871111
