D,W,Time
2,2,0.00626654
2,5,0.027841
2,8,0.0720165
2,11,0.143559
2,14,0.234449
2,17,0.353475
2,20,0.495968
2,23,0.663822
2,26,0.850123
2,29,1.06635
4,2,0.011923
4,5,0.0735155
4,8,0.214402
4,11,0.41744
4,14,0.692942
4,17,1.04595
4,20,1.4661
4,23,1.96377
4,26,2.53303
4,29,3.1687
6,2,0.0176352
6,5,0.120049
6,8,0.343498
6,11,0.685741
6,14,1.17678
6,17,1.75111
6,20,2.4871
6,23,3.33563
6,26,4.22409
6,29,5.30347
8,2,0.0239533
8,5,0.167123
8,8,0.478748
8,11,0.968212
8,14,1.63727
8,17,2.4275
8,20,3.41677
8,23,4.62971
8,26,5.89371
8,29,7.40602
10,2,0.0288188
10,5,0.214209
10,8,0.618468
10,11,1.2304
10,14,2.0911
10,17,3.1362
10,20,4.43871
10,23,5.94931
10,26,7.57087
10,29,9.52678
12,2,0.0349022
12,5,0.260836
12,8,0.752343
12,11,1.51312
