D,W,Time
2,2,0.00827335
2,5,0.0314901
2,8,0.0716916
2,11,0.130401
2,14,0.204191
2,17,0.302102
2,20,0.406821
2,23,0.541173
2,26,0.694355
2,29,0.859516
4,2,0.0122767
4,5,0.0607008
4,8,0.153295
4,11,0.297028
4,14,0.484273
4,17,0.699599
4,20,0.985611
4,23,1.33885
4,26,1.68248
4,29,2.11239
6,2,0.016042
6,5,0.0911129
6,8,0.232505
6,11,0.448187
6,14,0.73893
6,17,1.11297
6,20,1.58028
6,23,2.07461
6,26,2.6802
6,29,3.39567
8,2,0.0195862
8,5,0.119084
8,8,0.322021
8,11,0.617923
8,14,1.02961
8,17,1.54914
8,20,2.16717
8,23,2.90077
8,26,3.78122
8,29,4.82248
10,2,0.023434
10,5,0.153679
10,8,0.404525
10,11,0.813636
10,14,1.32626
10,17,2.01325
10,20,2.81973
10,23,3.79272
10,26,4.90717
10,29,6.16975
12,2,0.0276031
12,5,0.184625
