D,W,Time
2,2,0.00622137
2,5,0.0285376
2,8,0.076242
2,11,0.164036
2,14,0.273513
2,17,0.377113
2,20,0.530087
2,23,0.714629
2,26,0.920811
2,29,1.15448
4,2,0.012573
4,5,0.077952
4,8,0.224385
4,11,0.448644
4,14,0.743118
4,17,1.11756
4,20,1.58065
4,23,2.18842
4,26,2.73753
4,29,3.44424
6,2,0.0187411
6,5,0.128221
6,8,0.368507
6,11,0.732735
6,14,1.22643
6,17,1.86365
6,20,2.62142
6,23,3.62601
6,26,4.57415
6,29,5.73137
8,2,0.0249054
8,5,0.181783
8,8,0.508143
8,11,1.02753
8,14,1.74381
8,17,2.60218
8,20,3.66852
8,23,4.92453
8,26,6.43099
8,29,8.07606
10,2,0.0309404
10,5,0.225418
10,8,0.652504
10,11,1.31745
10,14,2.20668
10,17,3.33422
10,20,4.70957
10,23,6.37534
10,26,8.18675
10,29,10.4225
12,2,0.0370393
12,5,0.278108
