D,W,Time
2,2,0.00749636
2,5,0.0114379
2,8,0.0141649
2,11,0.0198641
2,14,0.0237158
2,17,0.0274838
2,20,0.0327625
2,23,0.035659
2,26,0.0409641
2,29,0.0448635
4,2,0.0114792
4,5,0.0222966
4,8,0.0335104
4,11,0.0450789
4,14,0.0577978
4,17,0.0712658
4,20,0.0813241
4,23,0.0923575
4,26,0.103367
4,29,0.115436
6,2,0.0144489
6,5,0.0343016
6,8,0.0533926
6,11,0.0731667
6,14,0.0919678
6,17,0.111523
6,20,0.13108
6,23,0.148963
6,26,0.171586
6,29,0.193555
8,2,0.017591
8,5,0.0448931
8,8,0.0728694
8,11,0.10008
8,14,0.127709
8,17,0.160155
8,20,0.184229
8,23,0.209434
8,26,0.24396
8,29,0.273392
10,2,0.0221364
10,5,0.0583459
10,8,0.0928449
10,11,0.131149
10,14,0.163141
10,17,0.200026
10,20,0.23878
10,23,0.275992
10,26,0.317901
10,29,0.346297
12,2,0.0255036
12,5,0.0702642
12,8,0.111883
12,11,0.159188
12,14,0.200125
12,17,0.244599
12,20,0.295796
12,23,0.331922
12,26,0.385323
12,29,0.420274
14,2,0.0297277
14,5,0.0825546
14,8,0.13325
14,11,0.185584
14,14,0.236461
14,17,0.292041
14,20,0.351018
14,23,0.396738
14,26,0.451782
14,29,0.502942
16,2,0.0332271
16,5,0.0947421
16,8,0.152404
16,11,0.214086
16,14,0.271337
16,17,0.336312
16,20,0.396638
16,23,0.458732
16,26,0.516923
16,29,0.574407
18,2,0.0364129
18,5,0.107118
18,8,0.176732
18,11,0.240899
18,14,0.312279
18,17,0.380914
18,20,0.459643
18,23,0.517195
18,26,0.591345
18,29,0.652126
20,2,0.0402991
20,5,0.116641
20,8,0.192488
20,11,0.269646
20,14,0.345278
20,17,0.426501
20,20,0.50079
20,23,0.575729
20,26,0.667721
20,29,0.732439
22,2,0.044121
22,5,0.128004
22,8,0.213458
22,11,0.297057
22,14,0.391383
22,17,0.476047
22,20,0.567972
22,23,0.63589
22,26,0.729957
22,29,0.815716
24,2,0.0472793
24,5,0.139474
24,8,0.234937
24,11,0.334027
24,14,0.418055
24,17,0.520248
24,20,0.605438
24,23,0.69899
24,26,0.805006
24,29,0.913594
26,2,0.0510967
26,5,0.153022
26,8,0.260427
26,11,0.363977
26,14,0.460955
26,17,0.561994
26,20,0.662041
26,23,0.780755
26,26,0.891653
26,29,0.967425
28,2,0.0561465
28,5,0.167806
28,8,0.280973
28,11,0.392069
28,14,0.491541
28,17,0.611691
28,20,0.723869
28,23,0.845785
28,26,0.965921
28,29,1.04594
30,2,0.0601144
30,5,0.176948
30,8,0.301691
30,11,0.410206
30,14,0.547551
30,17,0.665659
30,20,0.766856
30,23,0.887837
30,26,1.00437
30,29,1.12359
